camera_id,name,lat,lon,area,score,level,vehicles,pedestrians,signals
5c505897-b475-4359-897d-b064bdb9feef,8 AVE @ 44 St,40.75851,-73.9888,Manhattan,6.9,medium,6,3,0
9cdf1f47-307d-48e8-8627-e77e189b5fed,207 ST @ 9 Ave,40.863685,-73.917066,Manhattan,14.0,medium,14,0,0
56b99f9c-1f5c-47e2-8c85-d34de045a4ce,Varick St @ Beach St ,40.720434,-74.006699,Manhattan,12.0,medium,12,0,0
f7c4d5d5-f4d4-4590-9459-6491507ae9f9,1 Ave @ 59 St,40.759615,-73.961967,Manhattan,6.8,medium,6,1,1
8c1ea3b6-0db6-4222-ba50-2545f8f82d71,Hudson St @ Erickson Pl/Beach,40.720694,-74.008455,Manhattan,3.9,low,3,3,0
1dddf912-4718-4b2a-94dd-1f793a9ed22c,6 Ave @ 49 St,40.759281077223,-73.9808977882913,Manhattan,8.2,medium,7,4,0
06d36cfe-a331-4cfd-8ff1-84e4d711e418,E 63 St @ QBB,40.762708,-73.961589,Manhattan,2.0,low,2,0,0
1927b469-e2dc-4943-a70c-e6e52fd4c48c,Broadway @ 46 St- Quad South,40.758692,-73.985371,Manhattan,2.9,low,2,3,0
4bd443cf-374f-493b-a99e-5f7ef81bb62c,3 Ave @ E 88 St,40.780144,-73.953037,Manhattan,6.9,medium,6,3,0
1f0cfaad-4c0a-46e8-a5e3-f206d83a875d,Delancy St @ Essex St,40.718557,-73.988199,Manhattan,11.2,medium,10,4,0
18afd744-f7ce-41c2-98d1-93e87929f627,2 Ave @ E 110 Street,40.793068,-73.94049,Manhattan,6.6,medium,6,2,0
3a3cf44d-6c42-46fb-b774-1441a8582076,Canal St @ Hudson St,40.723677,-74.008095,Manhattan,11.8,medium,11,1,1
0a49d947-2a5b-498d-a386-2cef5ce883fa,50 St Btwn 8 Ave & Broadway,40.761861,-73.985123,Manhattan,14.5,medium,14,0,1
2be7f4d2-3a72-45ba-95ad-b526643ef248,West Street @ Intrepid,40.764275,-73.998569,Manhattan,11.0,medium,11,0,0
dce301aa-b937-4041-b9fc-960abcd79178,Varick St @ Laight St,40.721808,-74.006436,Manhattan,11.0,medium,10,0,2
23994d9e-7e59-4808-8d47-405f779d19cf,1 Ave @ 14 St,40.731361,-73.982486,Manhattan,8.5,medium,8,0,1
0ad90cca-a6b0-4968-abdd-ca81ae497848,Henry Hudson @ 137 St,40.8219936715493,-73.9572572708129,Manhattan,0.0,low,0,0,0
0f12dfd0-76dc-4b34-80ee-b10ceeb84058,2nd Camera South Bound BPU-148.57,40.704515,-74.016696,Manhattan,0.0,low,0,0,0
b6ce5739-ca1f-4a8d-bfd7-5979d6ff6dfc,2nd Camera North Bound BPU -148.52,40.702496,-74.015762,Manhattan,0.0,low,0,0,0
e38fd7b8-c074-4b6e-bc52-4dd932145239,Rockefeller Plaza @ W 50 St,40.75907,-73.97846,Manhattan,0.0,low,0,0,0
311a7ce2-4648-45f7-8b69-32709361adb7,1 Ave @ 96 St,40.783304,-73.944662,Manhattan,2.0,low,2,0,0
04589f46-2429-4e26-ad46-12a1198e9a9c,6 Ave @ West Houston St,40.728348,-74.002878,Manhattan,5.4,medium,4,3,1
5674d0ea-703a-43c3-bea7-2b372d1eb00b,2 Ave @ 72 St,40.768801,-73.958427,Manhattan,3.0,low,3,0,0
fcc24aa5-4da0-48f2-aa43-e70e4677517c,6 Ave @ 23 St,40.7429025573452,-73.992797766009,Manhattan,4.1,low,3,2,1
38c07664-0329-471e-997f-6a9015a5bcef,1 Ave @ 124 St,40.801009,-73.931756,Manhattan,6.0,medium,6,0,0
482e6d35-2a67-4bbf-b36f-fdf7e031d607,5 AVE @ 50 St,40.75856,-73.9772,Manhattan,9.2,medium,8,4,0
98c2de4e-fa0c-41d0-b1ea-6d1df833d792,Allan St (1 Ave) @ Houston St (B),40.72289,-73.988622,Manhattan,11.9,medium,9,8,1
10c5f42d-6b32-4533-9c35-5715af4e4c76,3 Ave @ E 86 St,40.778737,-73.953921,Manhattan,11.5,medium,7,10,3
67a4769b-dfb2-4a0d-9605-114df107646c,West St @ West Houston St,40.729104,-74.010528,Manhattan,3.8,low,3,1,1
5c4582a7-6492-41ac-9bac-fa872878117b,West st and Fulton,40.71303,-74.014039,Manhattan,2.0,low,2,0,0
3c39ff3e-a81c-4f92-9a96-7861aa244fda,BB-43 North Rdwy @ Center Expansion Jt,40.705626,-73.9962,Manhattan,0.0,low,0,0,0
214340ac-8243-4820-b924-f36caff361e2,2 Ave @ 36 St-Midtown Tunnel,40.7460850794673,-73.9749605630373,Manhattan,8.0,medium,8,0,0
4d39d6d1-a009-480f-9851-2571a5df1174,Amsterdam Ave @ 181 St,40.84833,-73.930868,Manhattan,11.0,medium,11,0,0
097a7d75-1c6f-4817-aa34-1de4bb9202f4,MHB-23 Manh LRDWY @ Twr,40.708814,-73.991511,Manhattan,0.0,low,0,0,0
25ad72fe-e74c-49af-b4c0-34c9eac14655,Canal St @ Greenwich St ( Holland Tunnel ),40.725039,-74.01009,Manhattan,4.0,low,4,0,0
1e627100-9bce-4e78-bcd3-736344a2236c,FDR Dr @ Brooklyn Bridge Exit NB,40.708446,-73.998459,Manhattan,7.0,medium,7,0,0
6316453d-6161-4b98-a8e7-0e36c69d267c,2 Ave @ 74 St,40.770142,-73.957381,Manhattan,18.3,high,18,1,0
98b37dd5-bd64-4ace-add0-37f5135df600,St Nicholas Ave @ 125 St,40.810767,-73.952593,Manhattan,11.2,medium,9,4,2
86d418ab-10bc-4b73-a283-153abffabb0f,West st and West Thames (Battery tunnel),40.70769,-74.01565,Manhattan,5.0,medium,5,0,0
421960d6-54a8-4f12-a5ee-7a07390def4c,MADISON @ 57 ST,40.7622962700164,-73.9723570534941,Manhattan,5.2,medium,4,4,0
61890a52-c90e-41a1-b032-d5c6f39746d9,7 Ave @ 145 St,40.821639,-73.939078,Manhattan,10.0,medium,10,0,0
37e2a4b6-2fbd-42f5-9d2d-130b664783f2,9 Ave @ 57 St,40.7679306900999,-73.9857235137761,Manhattan,2.3,low,2,1,0
957fc40e-675c-4121-a3bc-ca3c0a246831,10 Ave @ 49 St,40.764212,-73.992385,Manhattan,12.1,medium,10,7,0
5beee073-18a8-4349-af6b-75eff7a78371,Church Street @ Vesey,40.712078,-74.010108,Manhattan,6.0,medium,6,0,0
8f692f55-8118-423b-8bcb-1ea49eaf442b,2 Ave @ 42 St,40.7498342023994,-73.9722170340956,Manhattan,1.0,low,1,0,0
8ee72946-49e0-4f49-991d-4f52b1206ed7,Broadway @ 6 Ave / 33 St,40.749412,-73.98806,Manhattan,3.1,low,1,7,0
5ed9017b-c053-4c5e-b858-752516683ada,Dyer Ave @ W 36 St,40.75516,-73.996557,Manhattan,10.3,medium,10,1,0
9dbb3101-9918-4b61-946f-a34d7c7c662b,East Houston St @ Ave B,40.721437,-73.983838,Manhattan,3.3,low,3,1,0
